Condition,Model,RAG_type,Scale,Item_Text,disc_score,loading_CI,loading_PE,cosine_sim
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,"When obstacles arise, I usually find a way around them.",0.1675,-0.011,0.678,0.4336
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I don't mind spending the extra time needed to finish a task properly.,0.0726,0.159,0.449,0.3545
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I often feel defeated by the smallest setback on a task.,0.1293,-0.123,0.816,0.4884
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,Setbacks make it hard for me to stay engaged with a task.,0.1384,0.019,0.724,0.5312
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I am known for completing the things I begin.,0.1364,0.18,0.525,0.4409
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,Nothing seems to deter me from finishing what I set out to do.,0.0459,0.111,0.675,0.5003
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,Finishing tasks is not always my strong point.,0.1756,0.013,0.628,0.4574
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I find it difficult to complete tasks that require consistent effort over time.,0.1006,0.121,0.666,0.5187
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I just keep going even when things don't go as planned.,0.1043,0.19,0.518,0.4571
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,Persistence is one of my key strengths.,0.0476,0.448,0.295,0.4737
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I quickly get discouraged when faced with task-related difficulties.,0.1157,-0.096,0.818,0.446
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I generally stick with one major goal at a time.,0.2137,-0.287,0.407,0.5305
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,"When I start a new project, I often lose interest quickly.",0.0846,-0.865,-0.133,0.4146
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I can easily set aside old passions for newer ones.,0.1665,-0.547,0.122,0.4604
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,My long-term commitments rarely waver.,0.0848,-0.178,0.506,0.3918
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I find it difficult to stay focused on a single pursuit.,0.2639,-0.541,0.269,0.6244
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I am content to work on one ambition for an extended period.,0.1975,-0.18,0.554,0.5826
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,New ideas frequently pull my attention away from my current work.,0.1715,-0.785,-0.106,0.444
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I am persistent in pursuing my chosen goals.,-0.0379,-0.053,0.794,0.469
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I enjoy the thrill of starting something new more than finishing it.,-0.0423,-0.627,0.03,0.3099
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,"Once I commit to a path, I typically see it through.",-0.0021,-0.216,0.554,0.4366
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I tend to jump between different hobbies and interests.,0.1773,-0.656,-0.031,0.37
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,My dedication to a significant objective is usually unwavering.,0.0965,0.051,0.829,0.5157
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I am easily distracted by novel opportunities.,0.1545,-0.647,0.021,0.3666
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I prefer deep involvement in one area over breadth of experience.,0.2321,-0.303,0.286,0.4687
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I often feel the urge to abandon what I'm doing for something else.,0.1448,-0.776,-0.089,0.404
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I can resist the temptation to chase after every new trend.,0.1827,-0.425,0.193,0.4108
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,My focus on a single ambition is strong.,0.3787,-0.035,0.742,0.7238
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I frequently start and stop many different endeavors.,-0.003,-0.666,0.044,0.3927
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I find satisfaction in prolonged dedication to a task.,-0.0225,-0.227,0.558,0.5062
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I am prone to shifting my focus to emergent interests.,0.2246,-0.612,0.101,0.499
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I am capable of maintaining concentration on one primary objective.,0.2179,-0.03,0.721,0.6126
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I have a habit of moving on to new obsessions before completing old ones.,0.2241,-0.678,0.004,0.4811
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I am steadfast in my pursuit of a singular aspiration.,0.2304,0.145,0.87,0.5673
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,The allure of novel pursuits often distracts me.,0.2096,-0.693,-0.021,0.4514
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I am patient enough to see a long-term goal to fruition.,-0.0351,-0.061,0.655,0.4031
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I often find myself abandoning projects mid-way.,-0.0347,-0.825,-0.089,0.3843
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,My commitment to a single ambition is generally stable.,0.2416,-0.006,0.751,0.6058
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I am easily swayed by the appeal of new challenges.,0.0383,-0.573,0.147,0.3389
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I am resolute in my dedication to a chosen aspiration.,0.1116,0.14,0.901,0.5101
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I find it challenging to resist exploring new interests.,0.1611,-0.726,0.035,0.4941
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I possess the ability to maintain focus on a singular objective.,0.2848,0.02,0.743,0.6748
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I am prone to developing and abandoning passions in quick succession.,0.1466,-0.703,0.031,0.4326
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,My engagement with a specific ambition is usually consistent.,0.1372,-0.119,0.604,0.5328
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I frequently find myself contemplating different ambitions simultaneously.,0.1747,-0.539,0.163,0.4759
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I am deliberate in my choice of focus and stick with it.,0.2086,-0.08,0.671,0.5593
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I often feel compelled to explore alternative paths.,0.0746,-0.604,0.052,0.3321
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I can resist the impulse to deviate from my current course.,0.1488,-0.284,0.448,0.5033
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I am committed to seeing my primary ambition through to completion.,0.0465,0.107,0.869,0.4699
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,New ideas consistently divert my attention from my current endeavors.,0.2007,-0.686,0.044,0.5151
gemini × No-RAG,gemini,No-RAG,Consistency of Interest,I am comfortable investing considerable time in one primary goal.,0.1626,-0.133,0.634,0.5448
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I keep working on tasks even when they become difficult.,0.1743,-0.511,0.283,0.5924
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,"When faced with challenges, I tend to give up easily.",0.095,-0.696,0.034,0.4205
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I am persistent in pursuing my goals.,0.0488,-0.048,0.787,0.4958
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I easily lose motivation when I encounter obstacles.,0.0912,-0.659,0.061,0.4157
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,"I see projects through to completion, regardless of setbacks.",0.2013,-0.24,0.507,0.6183
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,Minor difficulties often discourage me from finishing what I start.,0.1703,-0.765,-0.032,0.5199
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I can maintain focus and effort on long-term projects.,-0.0636,-0.225,0.569,0.5254
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I struggle to stick with tasks that require sustained effort.,0.0292,-0.541,0.274,0.5229
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I am determined to overcome obstacles in my path.,0.087,-0.094,0.613,0.4408
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I find it hard to continue working when things get tough.,0.2016,-0.555,0.106,0.4999
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I am quick to abandon a task if it proves too demanding.,-0.0342,-0.699,0.056,0.3359
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,"I am committed to achieving my objectives, even if it takes time.",0.0323,-0.038,0.751,0.4469
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I get discouraged and stop working when I hit a wall.,0.1268,-0.608,0.025,0.4305
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I can power through periods of intense effort.,0.1388,-0.234,0.465,0.4955
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I tend to procrastinate on challenging assignments.,0.0646,-0.651,0.043,0.3559
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I am resolute in my efforts to succeed.,0.0318,0.127,0.878,0.4292
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I find it easier to start new things than to finish existing ones.,0.0135,-0.732,-0.042,0.3828
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I am willing to put in extra work to complete a task.,0.1849,-0.184,0.477,0.4255
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,"When faced with a problem, I often seek the easiest way out instead of persisting.",0.0446,-0.584,0.056,0.3802
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I am known for my resilience in the face of adversity.,0.1849,-0.165,0.444,0.4254
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I often feel like giving up when things don't go as planned.,0.0948,-0.653,-0.026,0.3516
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I am driven to finish what I start.,0.1004,-0.276,0.523,0.4805
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I lose interest in a project once it becomes complicated.,-0.0864,-0.695,-0.047,0.2797
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I am able to sustain my energy and focus on demanding tasks.,0.0018,-0.127,0.568,0.481
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I find it difficult to summon the energy to keep going when I'm tired.,0.0769,-0.529,0.067,0.3593
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I am steadfast in my commitment to my responsibilities.,-0.0518,0.132,0.843,0.3548
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I often leave tasks unfinished if they become too time-consuming.,0.007,-0.755,-0.034,0.3774
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I am dedicated to seeing things through to the end.,0.0545,0.02,0.75,0.473
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I struggle to maintain effort when the rewards are not immediate.,0.0741,-0.488,0.222,0.4927
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I am tenacious in my pursuit of goals.,0.0077,-0.082,0.709,0.4389
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I tend to abandon tasks that require significant long-term commitment.,-0.0318,-0.683,0.105,0.3754
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I am able to endure hardship in pursuit of my aims.,0.1227,-0.03,0.714,0.5297
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I find it frustrating to continue working on something that isn't progressing quickly.,0.0405,-0.644,0.047,0.436
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,"I am reliable in my efforts, even when they are strenuous.",0.1565,-0.141,0.599,0.4426
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I am prone to giving up when faced with repeated failures.,0.1045,-0.593,0.167,0.4502
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I have a strong will to complete what I have begun.,0.1087,-0.183,0.612,0.495
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I find it hard to push myself when I encounter unexpected problems.,0.2066,-0.638,0.019,0.4542
gemini × No-RAG,gemini,No-RAG,Perseverance of Effort,I can keep working diligently even when exhausted.,0.1332,-0.244,0.423,0.4957
gemini × RAG,gemini,RAG,Consistency of Interest,I usually finish what I start.,-0.1199,0.498,-0.242,0.3239
gemini × RAG,gemini,RAG,Consistency of Interest,I tend to jump from one hobby to another.,0.1741,0.623,0.0,0.3773
gemini × RAG,gemini,RAG,Consistency of Interest,"Once I decide on a goal, I see it through.",-0.0052,0.174,-0.586,0.4226
gemini × RAG,gemini,RAG,Consistency of Interest,I often get bored with projects before they're done.,0.0075,0.828,0.12,0.3545
gemini × RAG,gemini,RAG,Consistency of Interest,New ideas easily pull me away from my current commitments.,0.1655,0.637,-0.059,0.4371
gemini × RAG,gemini,RAG,Consistency of Interest,I am diligent in pursuing my ambitions.,0.0687,0.04,-0.788,0.4691
gemini × RAG,gemini,RAG,Consistency of Interest,It’s hard for me to resist exploring new possibilities.,0.0412,0.504,-0.139,0.3501
gemini × RAG,gemini,RAG,Consistency of Interest,I rarely abandon tasks I've committed to.,0.0159,0.528,-0.237,0.4344
gemini × RAG,gemini,RAG,Consistency of Interest,I find myself easily drawn to novel pursuits.,0.1028,0.567,-0.093,0.3541
gemini × RAG,gemini,RAG,Consistency of Interest,My focus remains on my chosen objectives.,0.2201,0.071,-0.712,0.5887
gemini × RAG,gemini,RAG,Consistency of Interest,I frequently change my mind about what I want to achieve.,0.1001,0.571,-0.16,0.3829
gemini × RAG,gemini,RAG,Consistency of Interest,I am determined to see my long-term goals realized.,-0.0205,-0.1,-0.856,0.3746
gemini × RAG,gemini,RAG,Consistency of Interest,I get easily distracted by emerging interests.,0.2039,0.759,0.062,0.4656
gemini × RAG,gemini,RAG,Consistency of Interest,I maintain a steady course toward my aspirations.,0.0414,0.026,-0.769,0.514
gemini × RAG,gemini,RAG,Consistency of Interest,I often start new projects without finishing old ones.,0.0216,0.717,0.038,0.3675
gemini × RAG,gemini,RAG,Consistency of Interest,My dedication to a single aim is strong.,0.2454,-0.036,-0.77,0.5933
gemini × RAG,gemini,RAG,Consistency of Interest,I have a habit of starting things and not finishing them.,-0.063,0.65,-0.055,0.3183
gemini × RAG,gemini,RAG,Consistency of Interest,I stick with my plans until they are completed.,-0.0372,0.236,-0.494,0.3415
gemini × RAG,gemini,RAG,Consistency of Interest,I find it challenging to maintain long-term focus.,0.1471,0.53,-0.257,0.5832
gemini × RAG,gemini,RAG,Consistency of Interest,I am committed to the projects I undertake.,0.0065,0.128,-0.688,0.4208
gemini × RAG,gemini,RAG,Consistency of Interest,I am prone to pursuing fleeting enthusiasms.,0.1661,0.539,-0.18,0.4405
gemini × RAG,gemini,RAG,Consistency of Interest,My persistence on a singular path is unwavering.,0.1048,0.026,-0.69,0.505
gemini × RAG,gemini,RAG,Consistency of Interest,I often get bored with my endeavors.,0.0513,0.759,0.008,0.3675
gemini × RAG,gemini,RAG,Consistency of Interest,I concentrate on a few important goals.,0.242,0.227,-0.494,0.6011
gemini × RAG,gemini,RAG,Consistency of Interest,I have a tendency to switch my interests frequently.,0.2071,0.684,0.024,0.4016
gemini × RAG,gemini,RAG,Consistency of Interest,I am dedicated to achieving my primary objectives.,0.1001,-0.1,-0.847,0.445
gemini × RAG,gemini,RAG,Consistency of Interest,I find it difficult to stay with one thing for long.,0.1399,0.669,-0.067,0.4718
gemini × RAG,gemini,RAG,Consistency of Interest,My efforts are consistently directed towards my main ambitions.,0.1293,0.047,-0.741,0.5137
gemini × RAG,gemini,RAG,Consistency of Interest,I lose interest in my projects when they become challenging.,0.0457,0.803,0.043,0.4186
gemini × RAG,gemini,RAG,Consistency of Interest,I can dedicate myself to a single pursuit for extended periods.,0.2173,0.283,-0.434,0.5967
gemini × RAG,gemini,RAG,Consistency of Interest,I am easily tempted by new ventures.,0.0709,0.569,-0.087,0.3019
gemini × RAG,gemini,RAG,Consistency of Interest,My focus is steady on my most important aspirations.,0.2205,0.038,-0.722,0.6085
gemini × RAG,gemini,RAG,Consistency of Interest,I often feel compelled to seek out new experiences.,0.1005,0.475,-0.125,0.2997
gemini × RAG,gemini,RAG,Consistency of Interest,I see my chosen ambitions through to completion.,-0.0171,0.062,-0.732,0.452
gemini × RAG,gemini,RAG,Consistency of Interest,I have a short attention span for long-term goals.,0.1523,0.501,-0.25,0.4519
gemini × RAG,gemini,RAG,Consistency of Interest,I am resolute in my pursuit of established aims.,0.0891,-0.098,-0.888,0.5109
gemini × RAG,gemini,RAG,Consistency of Interest,I frequently get sidetracked by other opportunities.,0.116,0.684,-0.008,0.4054
gemini × RAG,gemini,RAG,Consistency of Interest,I am unwavering in my commitment to my core objectives.,0.1247,-0.11,-0.887,0.4812
gemini × RAG,gemini,RAG,Consistency of Interest,My concentration wavers when faced with repetitive tasks.,0.0972,0.668,-0.06,0.4905
gemini × RAG,gemini,RAG,Perseverance of Effort,I tend to abandon tasks that become too demanding.,-0.0196,0.859,0.093,0.3858
gemini × RAG,gemini,RAG,Perseverance of Effort,I see a difficult task through to completion.,0.203,0.294,-0.435,0.5388
gemini × RAG,gemini,RAG,Perseverance of Effort,"When faced with a roadblock, I give up on my goals.",0.0523,0.481,-0.23,0.3992
gemini × RAG,gemini,RAG,Perseverance of Effort,I am committed to finishing what I start.,0.0988,0.19,-0.635,0.4963
gemini × RAG,gemini,RAG,Perseverance of Effort,I readily shift focus when a task presents too many problems.,-0.1554,0.635,-0.08,0.3554
gemini × RAG,gemini,RAG,Perseverance of Effort,I persist in my efforts until a task is completed.,0.0839,0.22,-0.596,0.5351
gemini × RAG,gemini,RAG,Perseverance of Effort,I find it easy to let go of unfinished projects.,-0.0154,0.763,0.01,0.4087
gemini × RAG,gemini,RAG,Perseverance of Effort,"I am determined to achieve my objectives, even with delays.",0.0921,0.03,-0.767,0.4812
gemini × RAG,gemini,RAG,Perseverance of Effort,I easily become discouraged when my work hits a snag.,0.1522,0.719,-0.031,0.4833
gemini × RAG,gemini,RAG,Perseverance of Effort,I find the motivation to continue working through adversity.,0.2422,0.225,-0.462,0.5917
gemini × RAG,gemini,RAG,Perseverance of Effort,I often leave tasks incomplete if they prove too challenging.,0.0692,0.812,0.026,0.4337
gemini × RAG,gemini,RAG,Perseverance of Effort,I am resilient in the face of obstacles.,0.2017,0.203,-0.483,0.5052
gemini × RAG,gemini,RAG,Perseverance of Effort,I tend to stop working when faced with significant difficulty.,0.1362,0.65,-0.086,0.523
gemini × RAG,gemini,RAG,Perseverance of Effort,I rarely feel the need to finish something I've started if it's hard.,0.1242,0.681,-0.012,0.4408
gemini × RAG,gemini,RAG,Perseverance of Effort,I don't let setbacks prevent me from achieving my goals.,0.1701,0.198,-0.486,0.5043
gemini × RAG,gemini,RAG,Perseverance of Effort,I have a habit of dropping tasks when they become frustrating.,0.0281,0.82,0.1,0.4202
gemini × RAG,gemini,RAG,Perseverance of Effort,I am dedicated to seeing my endeavors through to the end.,0.0671,-0.031,-0.835,0.4898
gemini × RAG,gemini,RAG,Perseverance of Effort,I quickly lose interest when a task requires sustained effort.,-0.0341,0.787,0.028,0.4119
gemini × RAG,gemini,RAG,Perseverance of Effort,I maintain focus and effort on long-term projects.,-0.1149,0.3,-0.534,0.5223
gemini × RAG,gemini,RAG,Perseverance of Effort,"I easily get sidetracked by new, less demanding activities.",-0.1579,0.828,0.122,0.2662
gemini × RAG,gemini,RAG,Perseverance of Effort,I am known for my ability to overcome difficulties.,0.2052,0.242,-0.409,0.4565
gemini × RAG,gemini,RAG,Perseverance of Effort,I tend to give up on things that are not immediately rewarding.,0.033,0.739,-0.015,0.3993
gemini × RAG,gemini,RAG,Perseverance of Effort,I am persistent in pursuing my ambitions.,0.0006,0.032,-0.806,0.4651
gemini × RAG,gemini,RAG,Perseverance of Effort,I find it difficult to stay committed when things get complicated.,0.0158,0.615,-0.117,0.3902
gemini × RAG,gemini,RAG,Perseverance of Effort,I easily get discouraged by failures.,0.1162,0.632,-0.084,0.4182
gemini × RAG,gemini,RAG,Perseverance of Effort,I tend to procrastinate on difficult tasks.,0.109,0.732,-0.004,0.3975
gemini × RAG,gemini,RAG,Perseverance of Effort,I continue to work towards my objectives despite setbacks.,0.1686,0.087,-0.694,0.5589
gemini × RAG,gemini,RAG,Perseverance of Effort,I rarely feel the need to see a difficult task through.,0.0616,0.714,-0.042,0.423
gemini × RAG,gemini,RAG,Perseverance of Effort,I am unwavering in my pursuit of goals.,-0.0689,-0.062,-0.88,0.4018
gemini × RAG,gemini,RAG,Perseverance of Effort,I am quick to abandon goals that require significant effort.,-0.0449,0.648,-0.109,0.3223
gemini × RAG,gemini,RAG,Perseverance of Effort,I am tenacious in my work ethic.,0.0689,0.17,-0.555,0.4303
gemini × RAG,gemini,RAG,Perseverance of Effort,I let minor difficulties derail my progress.,0.1154,0.584,-0.144,0.4697
gemini × RAG,gemini,RAG,Perseverance of Effort,I am committed to finishing what I begin.,0.0972,0.165,-0.661,0.4969
gemini × RAG,gemini,RAG,Perseverance of Effort,I find it easy to move on from unfinished work.,0.0611,0.702,-0.038,0.4379
gemini × RAG,gemini,RAG,Perseverance of Effort,I am steadfast in my efforts to achieve success.,0.0284,-0.164,-0.957,0.4532
gemini × RAG,gemini,RAG,Perseverance of Effort,I often give up when my work becomes overwhelming.,0.0518,0.795,0.049,0.396
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I get easily bored with my current projects.,0.1275,0.7,0.045,0.3726
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,"Once I commit to something, I see it through.",0.0032,0.153,0.619,0.4331
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,New ideas often pull me away from my current goals.,0.1278,0.674,0.075,0.4364
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I find it hard to resist exploring new interests.,0.123,0.712,0.079,0.4492
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,My long-term goals remain my priority.,0.067,0.253,0.443,0.4176
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I often jump to new hobbies or obsessions.,0.1991,0.811,-0.08,0.4288
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I'm always looking for the next exciting thing to do.,0.0181,0.486,0.094,0.2101
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I can resist the allure of novelty when focused.,0.2692,0.516,0.181,0.5559
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,My interests are fleeting.,0.1806,0.717,-0.059,0.3616
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I am steadfast in pursuing my ambitions.,0.0917,0.183,0.651,0.5074
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I easily get distracted by unrelated opportunities.,0.1751,0.703,0.019,0.4023
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I rarely stick with one major goal for very long.,0.1457,0.484,0.237,0.4644
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I am committed to seeing my projects to completion.,-0.0391,0.118,0.632,0.3952
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,The thought of new projects is always tempting.,0.0938,0.592,-0.028,0.358
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,My focus on my primary ambition is unwavering.,0.2544,0.282,0.497,0.6139
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I am prone to abandoning projects prematurely.,0.0056,0.509,0.251,0.3827
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I find satisfaction in prolonged engagement with a single pursuit.,0.1665,0.51,0.245,0.5762
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,My attention shifts rapidly between interests.,0.2969,0.855,-0.112,0.5072
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I can suppress the urge to chase every new idea.,0.2165,0.519,0.155,0.5074
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I am easily captivated by novel pursuits.,0.1353,0.657,0.07,0.365
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,My dedication to a single objective is enduring.,0.1554,0.154,0.62,0.6289
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I have difficulty maintaining focus on one thing.,0.2381,0.557,0.191,0.583
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I consistently invest my energy in my chosen path.,0.0359,0.263,0.467,0.4359
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I find it challenging to resist the pull of new interests.,0.1823,0.712,0.077,0.5055
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I am resolved to achieve my long-term ambitions.,0.0282,0.11,0.632,0.4407
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I frequently find myself starting over with new ventures.,-0.0187,0.552,0.157,0.3607
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,My focus is stable and persistent on my primary goals.,0.1919,0.272,0.504,0.6169
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I am often drawn to the novelty of different pursuits.,0.1108,0.781,-0.032,0.3303
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I have a strong capacity to stay the course.,-0.0523,0.104,0.679,0.4369
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I have a tendency to flit from one interest to another.,0.2311,0.886,-0.141,0.4259
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,My current ambitions hold my sustained attention.,0.1763,0.532,0.298,0.6042
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I am easily swayed by exciting new possibilities.,0.0757,0.623,0.074,0.2892
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I am reliable in my commitment to a singular ambition.,0.2118,0.241,0.528,0.5517
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Consistency of Interest,I often abandon my current projects for something else.,0.1071,0.675,0.067,0.3975
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I keep going even when things get tough.,0.18,-0.004,0.718,0.5046
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I don't give up easily when faced with challenges.,0.1234,-0.054,0.76,0.4328
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,"I see tasks through to completion, no matter the difficulties.",0.2246,-0.028,0.714,0.5776
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,"When I encounter a problem, I'm determined to find a solution.",0.0932,0.004,0.681,0.3901
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I persist in my efforts even after experiencing setbacks.,0.1675,-0.011,0.825,0.5815
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I can maintain focus on my goals despite obstacles.,-0.0076,0.069,0.73,0.5544
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,Difficulties rarely deter me from achieving what I set out to do.,0.1513,-0.022,0.788,0.5339
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I am resilient in the face of adversity.,0.1998,-0.132,0.781,0.4658
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I am driven to finish what I start.,0.1004,0.204,0.606,0.4805
